templateId	text	templateText
13	спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	да спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	СПАСИБО!!!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо !	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо огромное	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Большое спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	огромное спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, огромное	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо вам большое	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Большое спасибо!!!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Большое спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо огромное!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо большое!!!!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Да, спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	да, спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	да.Спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Большое спасибо за ответ!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо большое за ответ!!!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо за ответ!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Огромное спасибо за ответ!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо за ответ, изучим!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое за ответ!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо, прорабатываю ответ	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо за оперативный ответ	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо ответ	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо за понятный ответ	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Большое спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	огромное спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	хорошо.спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Хорошо, спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Хорошо, спасибо)	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, отлично.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	хорошо, спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Хорошо, спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое)	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо Большое)))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо)	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	я поняла спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо. Поняла.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Поняла, спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Понял спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое за помощь!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, вы мне очень помогли.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо за помощь	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо большое за помощь	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Всё понятно, Спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, все понятно	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо. Все понятно.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо, буду ждать	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое! разбираюсь	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	понятно, спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	ясно, спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Ясно, спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Окей. спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо. Удачи.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	хорошо спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое , хорошего вам дня.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо,	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо)!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо!)	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо .	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Да, спасибо большое	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Поняла. Спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Поняла, спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо поняла	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	поняла , спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Хорошо. Спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Да хорошо, спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	ок) Спасибо)	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Да, конечно. Спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Да, конечно, спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Конечно, спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Да, конечно! Спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Понятно. спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, все понятно.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Понятно, спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Ясно. спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Понял, спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Поняла, спасибо:)	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Я поняла Вас,спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо. поняла))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Понял. Спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	СПасибо огромное!!!!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое!!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо за помощь ))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, помогли	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, получили вопрос на свой ответ	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо за ответ	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо за ответ.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	ок.спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо.Всего доброго.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	ок, спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо большое))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	ок спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	ок. спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо большое !	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Большое спасибо !!!!!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	поняла, спасибо !	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Поняла, спасибо большое)))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо. Поняла	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Хорошо, спасибо, я поняла	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Поняла. Спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо. Отлично	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Хорошо. Спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Хорошо. Спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Отлично, спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	спасибо)))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	да, конечно. Спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Конечно, спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Да, спасибо.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Большое спасибо за ответ.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Понятно. Спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	понятно спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	понятно. спасибо	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Огромное спасибо за помощь	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Огромное Вам спасибо!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, буду здать	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Спасибо, буду знать	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Благодарю	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Благодарю!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Благодарю.	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	благодарю Вас))	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Благодарю Вас!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Благодарю за ответ	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	благодарю вас	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
13	Благодарю за ответ!	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.
